Location,Technology       ,Tweet                                                                                                                                                                                                                                                                                                                                                                ,Sentiment_Score
CA      ,iot              ,RT @gp_pulipaka: Managing Storage for IoT Data at the Enterprise Edge. #BigData #MachineLearning #DataScience #AI #IoT #Cloud #CloudComputi\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @BotAutomation: Top 20 reasons #startups fail [#infographic] | @cb_insights via @MikeQuindazzi \n\n#software #saas #biotech #healthtech #a\u2026                                                                                                                                                                                                                  ,0
CA      ,iot              ,"RT @PavoIoT: Buh bye #Consensus2018 in NYC, hello #IoTWorld in #SantaClara! #IoT #AgTech #blockchain #ICO https://t.co/Vz8RAFOClS                                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @ImChrisKidd: Arlo's smart security light helps ward off nighttime intruders. #SmartHome #IoT https://t.co/45v488oAmi                                                                                                                                                                                                                                             ,0
CA      ,iot              ,RT @MikeQuindazzi: A new way to control your #AugmentedReality world! &gt;&gt; @MikeQuindazzi &gt;&gt; #AR #VR #MR #Tech #Wearables #WearableTech #IoT\u2026                                                                                                                                                                                                         ,1
CA      ,iot              ,FortiGuard Labs unveiled another Mirai variant dubbed Wicked which ensnares IoT devices using a bunch of embedded e\u2026 https://t.co/0vCYQV8h6D                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @MikeQuindazzi: A new way to control your #AugmentedReality world! &gt;&gt; @MikeQuindazzi &gt;&gt; #AR #VR #MR #Tech #Wearables #WearableTech #IoT\u2026                                                                                                                                                                                                         ,0
CA      ,iot              ,"RT @Lily_Startups: The #futureofwork includes #EmergingTech, new #jobs and #augmented intelligence! &gt;&gt; @salesforce via @MikeQuindazzi &gt;&gt; #A\u2026                                                                                                                                                                                                      ",1
CA      ,iot              ,RT @Azure: Optimize security best practices by dividing your #IoT security architecture into zones. @docsmsft is here to show you how: http\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @jeffbarr: #AWS IoT 1-Click - Use Simple Devices to Trigger Lambda Functions - https://t.co/k3i6nFlDK3 https://t.co/Xoj5qZwsmx                                                                                                                                                                                                                                    ,1
CA      ,iot              ,"RT @DigitalVipul: \RT DeepLearn007: The 5 Most Amazing AI Advances in Health Care\n#AI #MachineLearning #DeepLearning #BigData #DataScience\u2026""                                                                                                                                                                                                                ",0
CA      ,iot              ,RT @Azure: Optimize security best practices by dividing your #IoT security architecture into zones. @docsmsft is here to show you how: http\u2026                                                                                                                                                                                                                    ,1
CA      ,iot              ,RT @SecurityTube: Bootloader Attacks on IoT Devices: The Basics https://t.co/qGe09jwvj6 https://t.co/MlEZ0qtjUi                                                                                                                                                                                                                                                      ,1
CA      ,iot              ,RT @TamaraMcCleary: Here's what we know about the robots that might build our first homes on the Moon https://t.co/08UNfen3Q8 #IoT #AI #rob\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @BotAutomation: 4 New Rules of #Digital #Business #Infographic\n\n[@JacBurns_Comext @forrester] MT\n#IoT #bigdata #fintech #sales #APIs #bl\u2026                                                                                                                                                                                                                 ,1
CA      ,iot              ,RT @Emma_Wearables: #AI Applications in one #Infographic! #Tech #Robotics #BigData #IoT #Marketing #Deeplearning #ML #M2M #ML #MachineLearn\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,"RT @MalaAnand_: Yesterday during the keynote at #IoTWorld, I talked about how #IoT is a key enabler of digital transformation and is part o\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @MalaAnand_: Loved seeing our team at the @SAP booth here at #IoTWorld in Santa Clara and the impressive demos! #IoT #digitaltransformat\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @SierraWireless: Bring your #mangOH Red questions to this Google Hangout on May 23: https://t.co/XogDHn9dQq https://t.co/lylGMwYpwr                                                                                                                                                                                                                               ,1
CA      ,iot              ,RT @MikeQuindazzi: State of the Markets and #IPOs Q1 2018 &gt;&gt; @SVB_Financial via @MikeQuindazzi &gt;&gt; #startups #icos #fintech #socialmedia #ai\u2026                                                                                                                                                                                                        ,0
CA      ,iot              ,RT @Felicity_Mills_: #IoT market is growing\n\n#tech #technology #Data #Analytics #DataScience #AI #Infographic #ML #MachineLearning #Robotic\u2026                                                                                                                                                                                                                  ,0
CA      ,iot              ,"RT @brendandburns: Great article on how @azure is delivering on the vision of an intelligent edge for IoT via containers, kubernetes and th\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @obloch: In case you couldn't attend #MSBuild last week, here is a tour of the #IoT booth with the #ch9IoTShow. My favorite is the #Azur\u2026                                                                                                                                                                                                                  ",1
CA      ,iot              ,"RT @Lily_Startups: Which #cloud solution should you choose? Public, private or hybrid? [Infographic] @raconteur @Fisher85M @mikequindazzi @\u2026                                                                                                                                                                                                                  ",1
CA      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,RT @__iot__: How AI and #IoT Smart Sensors Are Preserving a Lake Ecosystem https://t.co/KEP2VPHerb https://t.co/eJHULhpThD                                                                                                                                                                                                                                           ,0
CA      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/Xkxd20sZCU                                                                                                                                                                                                                    ,1
CA      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/STTt17u7Kv                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @Wonolo: The #InternetofThings : A Very Short Story \n#AutonomousCars #Wearable \n#AI #Ml #IoT #IIoT#Cloud #BigData #FutureOfWork @helene_\u2026                                                                                                                                                                                                                  ,0
CA      ,iot              ,RT @gp_pulipaka: Managing Storage for IoT Data at the Enterprise Edge. #BigData #MachineLearning #DataScience #AI #IoT #Cloud #CloudComputi\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @gp_pulipaka: #DeepLearning Frameworks in #HPC Environments: Join Me Next Monday with the Talented Pool of #DataScientists #Speakers Aro\u2026                                                                                                                                                                                                                    ,0
CA      ,iot              ,RT @awscloud: Espressif Systems\u2019 ESP32 now qualified for Amazon FreeRTOS! You can download the code on GitHub. https://t.co/6OlNRHqQb0 http\u2026                                                                                                                                                                                                               ,1
CA      ,iot              ,RT @SecurityTube: Bootloader Attacks on IoT Devices: The Basics https://t.co/qGe09jwvj6 https://t.co/MlEZ0qtjUi                                                                                                                                                                                                                                                      ,0
CA      ,iot              ,RT @BotAutomation: RT @fintech_paige: #IoT market is growing\n\n#tech #technology #Data #Analytics #DataScience #AI #Infographic #ML #Machine\u2026                                                                                                                                                                                                                  ,0
CA      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026                                                                                                                                                                                                                  ",0
CA      ,iot              ,"RT @MalaAnand_: Yesterday during the keynote at #IoTWorld, I talked about how #IoT is a key enabler of digital transformation and is part o\u2026                                                                                                                                                                                                                  ",0
