    ,Location,Technology      ,Tweet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Sentiment_Score
0   ,Location,Technology      ,Tweet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,0
1   ,FL      ,iot             ,FortiGuard Labs unveiled another Mirai variant dubbed Wicked which ensnares IoT devices using a bunch of embedded e\u2026 https://t.co/0vCYQV8h6D                                                                                                                                                                                                                                                                                                                                                        ,0
2   ,FL      ,iot             ,"RT @DigitalVipul: \RT DeepLearn007: The 5 Most Amazing AI Advances in Health Care\n#AI #MachineLearning #DeepLearning #BigData #DataScience\u2026"""                                                                                                                                                                                                                                                                                                                                                    ,1
3   ,FL      ,iot             ,RT @HaroldSinnott: Lift and shift! World\u2019s first #drone fitted w/ #robotic arms.\n\n#ai #drones #robots #autonomous #iot #ArtificialIntellige\u2026                                                                                                                                                                                                                                                                                                                                                 ,1
4   ,FL      ,iot             ,RT @JimMarous: Trends in Digital Transformation\n\nhttps://t.co/ZrkwTYUF7I\n\n#Banking #AI #IoT #digital #fintech #transformation #MachineLearn\u2026                                                                                                                                                                                                                                                                                                                                                    ,0
5   ,FL      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
6   ,FL      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
7   ,FL      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
8   ,FL      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
9   ,FL      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                                                                                                                                                                                                                                                                                                       ,0
10  ,FL      ,iot             ,RT @Victoria_Ball_0: The state of #SocialMedia : The Rise of the Urban Cloud Infographic @Cyber_Phish @PD_MobileApps @MikeQuindazzi @mallys\u2026                                                                                                                                                                                                                                                                                                                                                        ,0
11  ,FL      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
12  ,FL      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                                                                                                                                                                                                                                                                                                       ,0
13  ,FL      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                                                                                                                                                                                                                                                                                                       ,0
14  ,FL      ,iot             ,RT @insurance_cio: Keeping up with the Social and Digital Evolution in Insurance https://t.co/9EwUV1zbqu #Cloud #IoT                                                                                                                                                                                                                                                                                                                                                                                     ,0
15  ,FL      ,iot             ,IT pros worry about #IoT but not prepared to secure it. @darkreading @kg4gwa  #infosec #IoTSecurity\u2026 https://t.co/wLHCTotEvQ                                                                                                                                                                                                                                                                                                                                                                        ,1
16  ,FL      ,iot             ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
17  ,FL      ,iot             ,RT @dhinchcliffe: Global share of #IoT projects in 2018\n- #SmartCity 23%\n- #Industry40 17%\n- #SmartBuildings 12%\n- #ConnectedCar 11%\n- #Sma\u2026                                                                                                                                                                                                                                                                                                                                                   ,0
18  ,FL      ,iot             ,RT @IoTBigData: #ArtificialIntelligence giving rise to the \u201cfourth productivity impact\u201d beyond basic #automation: the rise of the fourth wa\u2026                                                                                                                                                                                                                                                                                                                                              ,0
19  ,FL      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/IU23x9aiRf                                                                                                                                                                                                                                                                                                                                                        ,0
20  ,FL      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/25VtXLnHhO                                                                                                                                                                                                                                                                                                                                                        ,0
21  ,FL      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/8D976TQYOn                                                                                                                                                                                                                                                                                                                                                        ,0
22  ,FL      ,iot             ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
23  ,FL      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/uE2ec2DKmx                                                                                                                                                                                                                                                                                                                                                        ,0
24  ,FL      ,iot             ,RT @adamsconsulting: The #Technology Making Our Cities Smarter\nLarger #Infographic - https://t.co/6h7C7ciSHr\n(by @raconteur via @Ronald_van\u2026                                                                                                                                                                                                                                                                                                                                                      ,0
25  ,FL      ,iot             ,RT @HaroldSinnott: Useful guide to Improving your #innovation measurement practices \nhttps://t.co/JNpNutINuT\n\n#Leadership #DigitalTransform\u2026                                                                                                                                                                                                                                                                                                                                                     ,1
26  ,FL      ,iot             ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
27  ,FL      ,iot             ,RT @HorizonCoin: How can Horizon help communications in a #SmartCity #iot World?\n\nhttps://t.co/CKTy5hHF66\n\n#ico #blockchain #cryptocurrency\u2026                                                                                                                                                                                                                                                                                                                                                    ,0
28  ,FL      ,iot             ,RT @insurance_cio: Keeping up with the Social and Digital Evolution in Insurance https://t.co/9EwUV1zbqu #Cloud #IoT                                                                                                                                                                                                                                                                                                                                                                                     ,0
29  ,FL      ,iot             ,RT @IoTBigData: Royal wedding 2018: Prince Harry and Meghan Markle are marrying this Saturday - CNET: #ai #ml #dl #iot MT @worldtrendsinfo\u2026                                                                                                                                                                                                                                                                                                                                                         ,0
30  ,FL      ,iot             ,RT @EmbeddedAdvisor: .@Avnet is a global leader in electronic components and embedded solutions from design to delivery https://t.co/VxxkYO\u2026                                                                                                                                                                                                                                                                                                                                                        ,0
31  ,FL      ,iot             ,2018-05-17T04:34:42.193Z security deckcam vmotion                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0
32  ,FL      ,iot             ,RT @digitalcloudgal: #DezPhotoChallenge Who says work can\u2019t be fun? Had the best time today at #IoTWorld ! Thank you .@IoTWorldSeries .@Lor\u2026                                                                                                                                                                                                                                                                                                                                                   ,1
33  ,FL      ,iot             ,Evolution of Internet of Things! [Infographic] \n\n[@antgrasso @evankirstel]\n#DigitalTransformation \n#IoT #AI #M2M\u2026 https://t.co/eRfmPtecCt                                                                                                                                                                                                                                                                                                                                                       ,0
34  ,FL      ,iot             ,"Vape pen explosion led to death of Florida man, autopsy finds - CNET: #ai #deeplearning #iot cc @motorcycletwitt\u2026 https://t.co/hRBR6f6pu5"                                                                                                                                                                                                                                                                                                                                                         ,0
35  ,FL      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                                                                                                                                                                                                                                                                                                       ,0
36  ,FL      ,iot             ,RT @hudson_chatbots: PicoBrew is replacing its beer-brewing devices with a new universal device: #machinelearning #ai #iot mt: @MikeQuindaz\u2026                                                                                                                                                                                                                                                                                                                                                        ,0
37  ,FL      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                                                                                                                                                                                                                                                                                                       ,0
38  ,FL      ,iot             ,"RT @vanguardsw: RT @diioannid \#Ironing is a thing of the past. This #smart gadget and its #application can do it for you | via @mashable\n@\u2026"""                                                                                                                                                                                                                                                                                                                                                   ,0
39  ,FL      ,iot             ,The Search Engine Optimization Tasks #SEO #DigitalMarketing #ContentMarketing #defstar5 #makeyourownlane #Marketing\u2026 https://t.co/EtmsW24OzQ                                                                                                                                                                                                                                                                                                                                                        ,0
40  ,FL      ,iot             ,10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach\u2026 https://t.co/G66ryaoOkw                                                                                                                                                                                                                                                                                                                                                             ,0
41  ,FL      ,iot             ,RT @Self_Driving_AI: \ud83d\udd2dA #GrowthHacking Planning System for Your #DigitalMarketing [#Infographic] #InboundMarketing #ContentMarketing #Analy\u2026                                                                                                                                                                                                                                                                                                                                             ,0
42  ,FL      ,iot             ,digitaltransformation via NodeXL \n@helene_wpli\n@antgrasso\n@mikequindazzi\n@airshaid\n@ronald_vanloon\n@evankirstel\u2026 https://t.co/RKGXAcum4F                                                                                                                                                                                                                                                                                                                                                      ,0
43  ,FL      ,iot             ,"RT @vanguardsw: RT @grattongirl \This #VirtualReality-controlled #Robot can dismantle bombs &gt; @CNBC via @MikeQuindazzi &gt; #AI #Robotics #IoT\u2026"""                                                                                                                                                                                                                                                                                                                                              ,0
44  ,FL      ,iot             ,RT @KrangTNelson: RACIST LAWYER GUY: hey fuck you. speak English in my presence. my taxes pay your welfare. fuck minorities \n\nBARI WEISS (P\u2026                                                                                                                                                                                                                                                                                                                                                      ,0
45  ,FL      ,iot             ,The latest Enterprise IoT Tech Trends Daily! https://t.co/wHuLQmBPVO #iot #internetofthings                                                                                                                                                                                                                                                                                                                                                                                                              ,1
