    ,Location,Technology       ,Tweet                                                                                                                                                                                           ,Sentiment_Score
0   ,Location,Technology       ,Tweet                                                                                                                                                                                           ,0
1   ,IL      ,iot              ,RT @IoTBigData: #ArtificialIntelligence giving rise to the \u201cfourth productivity impact\u201d beyond basic #automation: the rise of the fourth wa\u2026                                     ,0
2   ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/Jasnuj9Vy1                                               ,0
3   ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/IU23x9aiRf                                               ,0
4   ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/Xkxd20sZCU                                               ,0
5   ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/SXQuv7XUUF                                               ,0
6   ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/ScTvFLDbj4                                               ,0
7   ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/25VtXLnHhO                                               ,0
8   ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/8D976TQYOn                                               ,0
9   ,IL      ,iot              ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                             ,1
10  ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/uE2ec2DKmx                                               ,0
11  ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/iy2ZHyaEkj                                               ,0
12  ,IL      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/vgfrg4RGjf                                               ,0
13  ,IL      ,iot              ,RT @adamsconsulting: The #Technology Making Our Cities Smarter\nLarger #Infographic - https://t.co/6h7C7ciSHr\n(by @raconteur via @Ronald_van\u2026                                             ,0
14  ,IL      ,iot              ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                             ,1
15  ,IL      ,iot              ,RT @HorizonCoin: How can Horizon help communications in a #SmartCity #iot World?\n\nhttps://t.co/CKTy5hHF66\n\n#ico #blockchain #cryptocurrency\u2026                                           ,0
16  ,IL      ,iot              ,RT @insurance_cio: Keeping up with the Social and Digital Evolution in Insurance https://t.co/9EwUV1zbqu #Cloud #IoT                                                                            ,0
17  ,IL      ,iot              ,RT @IoTBigData: Royal wedding 2018: Prince Harry and Meghan Markle are marrying this Saturday - CNET: #ai #ml #dl #iot MT @worldtrendsinfo\u2026                                                ,0
