    ,Location,Technology      ,Tweet                                                                                                                                                                                                                 ,Sentiment_Score
0   ,Location,Technology      ,Tweet                                                                                                                                                                                                                 ,0
1   ,MS      ,iot             ,RT @donna_brown_ai: The Search Engine Optimization Tasks #SEO #DigitalMarketing #ContentMarketing #defstar5 #makeyourownlane #Marketing #st\u2026                                                                     ,0
2   ,MS      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/jXiLz7Grsg                                                                     ,0
3   ,MS      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/RlpqdJtiPM                                                                     ,0
4   ,MS      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/cvurF9V51e                                                                     ,0
5   ,MS      ,iot             ,RT @FirstNetGov: \u201cWe plan to apply key learnings to @FirstNet to give first responder subscribers even more innovative technologies that ca\u2026                                                                ,1
6   ,MS      ,iot             ,RT @WorldTrendsInfo: 10 ways to win with #digitaltransformation #Infographic via @MikeQuindazzi \n\n#ai #robotics #rpa #cx #iot #datascience\u2026                                                                    ,1
7   ,MS      ,iot             ,RT @Self_Driving_AI: 10 ways to win with #digitaltransformation #Infographic via @MikeQuindazzi \n\n#ai #robotics #rpa #cx #iot #datascience\u2026                                                                    ,1
8   ,MS      ,iot             ,RT @Sanderson_Tech: 4 quickly advancing and #EmergingTechnologies joining to be more powerful in 2018.\n#Infographic via @MikeQuindazzi\nMT @\u2026                                                                   ,1
9   ,MS      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                   ,1
10  ,MS      ,iot             ,RT @Fisher85M: How full is your #BigData Backpack?\n\n#IoT #DX #Analytics @Info_Data_Mgmt @adamsconsulting https://t.co/YyJ16WOzLM https://t.\u2026                                                                   ,1
11  ,MS      ,iot             ,RT @JimMarous: Trends in Digital Transformation\n\nhttps://t.co/ZrkwTYUF7I\n\n#Banking #AI #IoT #digital #fintech #transformation #MachineLearn\u2026                                                                 ,0
12  ,MS      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                   ,1
13  ,MS      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                   ,1
14  ,MS      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                   ,1
15  ,MS      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                   ,1
16  ,MS      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                    ,0
17  ,MS      ,iot             ,RT @Victoria_Ball_0: The state of #SocialMedia : The Rise of the Urban Cloud Infographic @Cyber_Phish @PD_MobileApps @MikeQuindazzi @mallys\u2026                                                                     ,0
18  ,MS      ,iot             ,RT @Fisher85M: What are 5 Major Sectors in #SmartCities? {Infographic}\n\n#CyberSecurity #AI #P2P #SmartCity @fisher85m #CX #Healthcare #info\u2026                                                                   ,0
19  ,MS      ,iot             ,RT @ai_amelia_: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #BigD\u2026                                                                   ,1
20  ,MS      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                    ,0
21  ,MS      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                    ,0
22  ,MS      ,iot             ,RT @insurance_cio: Keeping up with the Social and Digital Evolution in Insurance https://t.co/9EwUV1zbqu #Cloud #IoT                                                                                                  ,0
23  ,MS      ,iot             ,RT @Fisher85M: What are 5 Major Sectors in #SmartCities? {Infographic}\n\n#CyberSecurity #AI #P2P #SmartCity @fisher85m #CX #Healthcare #info\u2026                                                                   ,0
24  ,MS      ,iot             ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                                                   ,1
25  ,MS      ,iot             ,RT @dhinchcliffe: Global share of #IoT projects in 2018\n- #SmartCity 23%\n- #Industry40 17%\n- #SmartBuildings 12%\n- #ConnectedCar 11%\n- #Sma\u2026                                                                ,0
26  ,MS      ,iot             ,RT @GreentownLabs: BIG NEWS TODAY: We're proud to announce the Greentown Labs Bold Ideas Challenge in partnership with @SchneiderElec! We'r\u2026                                                                     ,1
27  ,MS      ,iot             ,RT @IoTBigData: #ArtificialIntelligence giving rise to the \u201cfourth productivity impact\u201d beyond basic #automation: the rise of the fourth wa\u2026                                                           ,0
28  ,MS      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/IU23x9aiRf                                                                     ,0
29  ,MS      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/SXQuv7XUUF                                                                     ,0
30  ,MS      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/8D976TQYOn                                                                     ,0
31  ,MS      ,iot             ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                                                   ,1
32  ,MS      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/iy2ZHyaEkj                                                                     ,0
33  ,MS      ,iot             ,RT @adamsconsulting: The #Technology Making Our Cities Smarter\nLarger #Infographic - https://t.co/6h7C7ciSHr\n(by @raconteur via @Ronald_van\u2026                                                                   ,0
34  ,MS      ,iot             ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                                                   ,1
35  ,MS      ,iot             ,RT @insurance_cio: Keeping up with the Social and Digital Evolution in Insurance https://t.co/9EwUV1zbqu #Cloud #IoT                                                                                                  ,0
36  ,MS      ,iot             ,RT @IoTBigData: Royal wedding 2018: Prince Harry and Meghan Markle are marrying this Saturday - CNET: #ai #ml #dl #iot MT @worldtrendsinfo\u2026                                                                      ,0
37  ,MS      ,iot             ,RT @EmbeddedAdvisor: .@Avnet is a global leader in electronic components and embedded solutions from design to delivery https://t.co/VxxkYO\u2026                                                                     ,0
38  ,MS      ,iot             ,2018-05-17T04:34:42.193Z security deckcam vmotion                                                                                                                                                                     ,0
39  ,MS      ,iot             ,RT @evankirstel: Ericsson and PTC Speed App and Service Development for Cellular #IoT @PTC @arkessa @EricssonIoT  https://t.co/n6nheVNrTp                                                                             ,0
40  ,MS      ,iot             ,RT @digitalcloudgal: #DezPhotoChallenge Who says work can\u2019t be fun? Had the best time today at #IoTWorld ! Thank you .@IoTWorldSeries .@Lor\u2026                                                                ,1
41  ,MS      ,iot             ,Evolution of Internet of Things! [Infographic] \n\n[@antgrasso @evankirstel]\n#DigitalTransformation \n#IoT #AI #M2M\u2026 https://t.co/eRfmPtecCt                                                                    ,0
42  ,MS      ,iot             ,"Vape pen explosion led to death of Florida man, autopsy finds - CNET: #ai #deeplearning #iot cc @motorcycletwitt\u2026 https://t.co/hRBR6f6pu5"                                                                      ,0
43  ,MS      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                    ,0
44  ,MS      ,iot             ,RT @hudson_chatbots: PicoBrew is replacing its beer-brewing devices with a new universal device: #machinelearning #ai #iot mt: @MikeQuindaz\u2026                                                                     ,0
45  ,MS      ,iot             ,RT @hudson_chatbots: 10 elements to help you protect and manage #cyberattacks.\n\n#cyber #onlinesecurity #infosec #data #databreach #hacking\u2026                                                                    ,0
46  ,MS      ,iot             ,"RT @vanguardsw: RT @diioannid \#Ironing is a thing of the past. This #smart gadget and its #application can do it for you | via @mashable\n@\u2026"""                                                                ,0
