    ,Location,Technology       ,Tweet                                                                                                                                                                          ,Sentiment_Score
0   ,Location,Technology       ,Tweet                                                                                                                                                                          ,0
1   ,TX      ,iot              ,"RT @MalaAnand_: Yesterday during the keynote at #IoTWorld, I talked about how #IoT is a key enabler of digital transformation and is part o\u2026"                            ,0
2   ,TX      ,iot              ,RT @MalaAnand_: Loved seeing our team at the @SAP booth here at #IoTWorld in Santa Clara and the impressive demos! #IoT #digitaltransformat\u2026                              ,1
3   ,TX      ,iot              ,RT @Victoria_Ball_0: The state of #SocialMedia : The Rise of the Urban Cloud Infographic @Cyber_Phish @PD_MobileApps @MikeQuindazzi @mallys\u2026                              ,0
4   ,TX      ,iot              ,IT pros worry about #IoT but not prepared to secure it. @darkreading @kg4gwa  #infosec #IoTSecurity\u2026 https://t.co/wLHCTotEvQ                                              ,1
5   ,TX      ,iot              ,RT @MikeQuindazzi: State of the Markets and #IPOs Q1 2018 &gt;&gt; @SVB_Financial via @MikeQuindazzi &gt;&gt; #startups #icos #fintech #socialmedia #ai\u2026                  ,0
6   ,TX      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026"                            ,0
7   ,TX      ,iot              ,RT @__iot__: How AI and #IoT Smart Sensors Are Preserving a Lake Ecosystem https://t.co/KEP2VPHerb https://t.co/eJHULhpThD                                                     ,1
8   ,TX      ,iot              ,RT @IoTBigData: #ArtificialIntelligence giving rise to the \u201cfourth productivity impact\u201d beyond basic #automation: the rise of the fourth wa\u2026                    ,0
9   ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/IU23x9aiRf                              ,0
10  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/Xkxd20sZCU                              ,0
11  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/25VtXLnHhO                              ,0
12  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/STTt17u7Kv                              ,0
13  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/8D976TQYOn                              ,0
14  ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/uE2ec2DKmx                              ,0
15  ,TX      ,iot              ,RT @adamsconsulting: The #Technology Making Our Cities Smarter\nLarger #Infographic - https://t.co/6h7C7ciSHr\n(by @raconteur via @Ronald_van\u2026                            ,0
16  ,TX      ,iot              ,RT @HaroldSinnott: Useful guide to Improving your #innovation measurement practices \nhttps://t.co/JNpNutINuT\n\n#Leadership #DigitalTransform\u2026                           ,1
17  ,TX      ,iot              ,RT @gp_pulipaka: Managing Storage for IoT Data at the Enterprise Edge. #BigData #MachineLearning #DataScience #AI #IoT #Cloud #CloudComputi\u2026                              ,0
18  ,TX      ,iot              ,RT @HorizonCoin: How can Horizon help communications in a #SmartCity #iot World?\n\nhttps://t.co/CKTy5hHF66\n\n#ico #blockchain #cryptocurrency\u2026                          ,0
19  ,TX      ,iot              ,RT @gp_pulipaka: #DeepLearning Frameworks in #HPC Environments: Join Me Next Monday with the Talented Pool of #DataScientists #Speakers Aro\u2026                              ,1
20  ,TX      ,iot              ,RT @SecurityTube: Bootloader Attacks on IoT Devices: The Basics https://t.co/qGe09jwvj6 https://t.co/MlEZ0qtjUi                                                                ,0
21  ,TX      ,iot              ,RT @IoTBigData: Royal wedding 2018: Prince Harry and Meghan Markle are marrying this Saturday - CNET: #ai #ml #dl #iot MT @worldtrendsinfo\u2026                               ,0
22  ,TX      ,iot              ,2018-05-17T04:34:42.193Z security deckcam vmotion                                                                                                                              ,0
23  ,TX      ,iot              ,RT @BotAutomation: RT @fintech_paige: #IoT market is growing\n\n#tech #technology #Data #Analytics #DataScience #AI #Infographic #ML #Machine\u2026                            ,0
24  ,TX      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026"                            ,0
25  ,TX      ,iot              ,"RT @MalaAnand_: Yesterday during the keynote at #IoTWorld, I talked about how #IoT is a key enabler of digital transformation and is part o\u2026"                            ,0
